Typ;Titel;AutorRegisseurHersteller;Zusatz;Id;IstVerliehen;IstReserviert;ReserviertVon;VerliehenAn;VerliehenAm
Buch;Der Herr der Ringe: Die Gefährten;J. R. R. Tolkien;Klett-Cotta;B001;True;False;;TesterGast;2025-11-26T18:40:26.1086376+01:00
Buch;Der Herr der Ringe: Die zwei Türme;J. R. R. Tolkien;Klett-Cotta;B002;True;False;;TesterGast;2025-11-26T18:40:29.8370761+01:00
Buch;Der Herr der Ringe: Die Rückkehr des Königs;J. R. R. Tolkien;Klett-Cotta;B003;True;False;;TesterGast;2025-11-26T18:40:32.2427276+01:00
Buch;Der Hobbit;J. R. R. Tolkien;Klett-Cotta;B004;False;False;;;
Buch;Harry Potter und der Stein der Weisen;J. K. Rowling;Carlsen;B005;False;False;;;
Buch;Harry Potter und die Kammer des Schreckens;J. K. Rowling;Carlsen;B006;False;False;;;
Buch;Harry Potter und der Gefangene von Askaban;J. K. Rowling;Carlsen;B007;False;False;;;
Buch;Die unendliche Geschichte;Michael Ende;Thienemann;B008;False;False;;;
Buch;Momo;Michael Ende;Thienemann;B009;False;False;;;
Buch;Der Alchimist;Paulo Coelho;Diogenes;B010;False;False;;;
Buch;Der Name der Rose;Umberto Eco;Hanser;B011;False;False;;;
Buch;Der Medicus;Noah Gordon;Droemer Knaur;B012;False;False;;;
Buch;Sakrileg – The Da Vinci Code;Dan Brown;Bastei Lübbe;B013;False;False;;;
Buch;Illuminati;Dan Brown;Bastei Lübbe;B014;False;False;;;
Buch;Die Säulen der Erde;Ken Follett;Bastei Lübbe;B015;False;False;;;
Buch;Krieg und Frieden;Leo Tolstoi;Fischer;B016;False;False;;;
Buch;Der Prozess;Franz Kafka;Fischer;B017;False;False;;;
Buch;Die Verwandlung;Franz Kafka;Reclam;B018;False;False;;;
Buch;Faust. Der Tragödie erster Teil;Johann Wolfgang von Goethe;Reclam;B019;False;False;;;
Buch;Der Fänger im Roggen;J. D. Salinger;Rowohlt;B020;False;False;;;
Buch;Der Herr der Ringe: Die Gefährten;J. R. R. Tolkien;Klett-Cotta;B021;False;False;;;
Buch;Der Herr der Ringe: Die zwei Türme;J. R. R. Tolkien;Klett-Cotta;B022;False;False;;;
Buch;Der Herr der Ringe: Die Rückkehr des Königs;J. R. R. Tolkien;Klett-Cotta;B023;False;False;;;
Buch;Der Hobbit;J. R. R. Tolkien;Klett-Cotta;B024;False;False;;;
Buch;Harry Potter und der Stein der Weisen;J. K. Rowling;Carlsen;B025;False;False;;;
Buch;Harry Potter und die Kammer des Schreckens;J. K. Rowling;Carlsen;B026;False;False;;;
Buch;Harry Potter und der Gefangene von Askaban;J. K. Rowling;Carlsen;B027;False;False;;;
Buch;Die unendliche Geschichte;Michael Ende;Thienemann;B028;False;False;;;
Buch;Momo;Michael Ende;Thienemann;B029;False;False;;;
Buch;Der Alchimist;Paulo Coelho;Diogenes;B030;False;False;;;
Buch;Der Name der Rose;Umberto Eco;Hanser;B031;False;False;;;
Buch;Der Medicus;Noah Gordon;Droemer Knaur;B032;False;False;;;
Buch;Sakrileg – The Da Vinci Code;Dan Brown;Bastei Lübbe;B033;False;False;;;
Buch;Illuminati;Dan Brown;Bastei Lübbe;B034;False;False;;;
Buch;Die Säulen der Erde;Ken Follett;Bastei Lübbe;B035;False;False;;;
Buch;Krieg und Frieden;Leo Tolstoi;Fischer;B036;False;False;;;
Buch;Der Prozess;Franz Kafka;Fischer;B037;False;False;;;
Buch;Die Verwandlung;Franz Kafka;Reclam;B038;False;False;;;
Buch;Faust. Der Tragödie erster Teil;Johann Wolfgang von Goethe;Reclam;B039;False;False;;;
Buch;Der Fänger im Roggen;J. D. Salinger;Rowohlt;B040;False;False;;;
Buch;Der Herr der Ringe: Die Gefährten;J. R. R. Tolkien;Klett-Cotta;B041;False;False;;;
Buch;Der Herr der Ringe: Die zwei Türme;J. R. R. Tolkien;Klett-Cotta;B042;False;False;;;
Buch;Der Herr der Ringe: Die Rückkehr des Königs;J. R. R. Tolkien;Klett-Cotta;B043;False;False;;;
Buch;Der Hobbit;J. R. R. Tolkien;Klett-Cotta;B044;False;False;;;
Buch;Harry Potter und der Stein der Weisen;J. K. Rowling;Carlsen;B045;False;False;;;
Buch;Harry Potter und die Kammer des Schreckens;J. K. Rowling;Carlsen;B046;False;False;;;
Buch;Harry Potter und der Gefangene von Askaban;J. K. Rowling;Carlsen;B047;False;False;;;
Buch;Die unendliche Geschichte;Michael Ende;Thienemann;B048;False;False;;;
Buch;Momo;Michael Ende;Thienemann;B049;False;False;;;
Buch;Der Alchimist;Paulo Coelho;Diogenes;B050;False;False;;;
Buch;Der Name der Rose;Umberto Eco;Hanser;B051;False;False;;;
Buch;Der Medicus;Noah Gordon;Droemer Knaur;B052;False;False;;;
Buch;Sakrileg – The Da Vinci Code;Dan Brown;Bastei Lübbe;B053;False;False;;;
Buch;Illuminati;Dan Brown;Bastei Lübbe;B054;False;False;;;
Buch;Die Säulen der Erde;Ken Follett;Bastei Lübbe;B055;False;False;;;
Buch;Krieg und Frieden;Leo Tolstoi;Fischer;B056;False;False;;;
Buch;Der Prozess;Franz Kafka;Fischer;B057;False;False;;;
Buch;Die Verwandlung;Franz Kafka;Reclam;B058;False;False;;;
Buch;Faust. Der Tragödie erster Teil;Johann Wolfgang von Goethe;Reclam;B059;False;False;;;
Buch;Der Fänger im Roggen;J. D. Salinger;Rowohlt;B060;False;False;;;
Buch;Der Herr der Ringe: Die Gefährten;J. R. R. Tolkien;Klett-Cotta;B061;False;False;;;
Buch;Der Herr der Ringe: Die zwei Türme;J. R. R. Tolkien;Klett-Cotta;B062;False;False;;;
Buch;Der Herr der Ringe: Die Rückkehr des Königs;J. R. R. Tolkien;Klett-Cotta;B063;False;False;;;
Buch;Der Hobbit;J. R. R. Tolkien;Klett-Cotta;B064;False;False;;;
Buch;Harry Potter und der Stein der Weisen;J. K. Rowling;Carlsen;B065;False;False;;;
Buch;Harry Potter und die Kammer des Schreckens;J. K. Rowling;Carlsen;B066;False;False;;;
Buch;Harry Potter und der Gefangene von Askaban;J. K. Rowling;Carlsen;B067;False;False;;;
Buch;Die unendliche Geschichte;Michael Ende;Thienemann;B068;False;False;;;
Buch;Momo;Michael Ende;Thienemann;B069;False;False;;;
Buch;Der Alchimist;Paulo Coelho;Diogenes;B070;False;False;;;
Buch;Der Name der Rose;Umberto Eco;Hanser;B071;False;False;;;
Buch;Der Medicus;Noah Gordon;Droemer Knaur;B072;False;False;;;
Buch;Sakrileg – The Da Vinci Code;Dan Brown;Bastei Lübbe;B073;False;False;;;
Buch;Illuminati;Dan Brown;Bastei Lübbe;B074;False;False;;;
Buch;Die Säulen der Erde;Ken Follett;Bastei Lübbe;B075;False;False;;;
Buch;Krieg und Frieden;Leo Tolstoi;Fischer;B076;False;False;;;
Buch;Der Prozess;Franz Kafka;Fischer;B077;False;False;;;
Buch;Die Verwandlung;Franz Kafka;Reclam;B078;False;False;;;
Buch;Faust. Der Tragödie erster Teil;Johann Wolfgang von Goethe;Reclam;B079;False;False;;;
Buch;Der Fänger im Roggen;J. D. Salinger;Rowohlt;B080;False;False;;;
Buch;Der Herr der Ringe: Die Gefährten;J. R. R. Tolkien;Klett-Cotta;B081;False;False;;;
Buch;Der Herr der Ringe: Die zwei Türme;J. R. R. Tolkien;Klett-Cotta;B082;False;False;;;
Buch;Der Herr der Ringe: Die Rückkehr des Königs;J. R. R. Tolkien;Klett-Cotta;B083;False;False;;;
Buch;Der Hobbit;J. R. R. Tolkien;Klett-Cotta;B084;False;False;;;
Buch;Harry Potter und der Stein der Weisen;J. K. Rowling;Carlsen;B085;False;False;;;
Buch;Harry Potter und die Kammer des Schreckens;J. K. Rowling;Carlsen;B086;False;False;;;
Buch;Harry Potter und der Gefangene von Askaban;J. K. Rowling;Carlsen;B087;False;False;;;
Buch;Die unendliche Geschichte;Michael Ende;Thienemann;B088;False;False;;;
Buch;Momo;Michael Ende;Thienemann;B089;False;False;;;
Buch;Der Alchimist;Paulo Coelho;Diogenes;B090;False;False;;;
Buch;Der Name der Rose;Umberto Eco;Hanser;B091;False;False;;;
Buch;Der Medicus;Noah Gordon;Droemer Knaur;B092;False;False;;;
Buch;Sakrileg – The Da Vinci Code;Dan Brown;Bastei Lübbe;B093;False;False;;;
Buch;Illuminati;Dan Brown;Bastei Lübbe;B094;False;False;;;
Buch;Die Säulen der Erde;Ken Follett;Bastei Lübbe;B095;False;False;;;
Buch;Krieg und Frieden;Leo Tolstoi;Fischer;B096;False;False;;;
Buch;Der Prozess;Franz Kafka;Fischer;B097;False;False;;;
